"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"CRACR2B",1.08217061695136e-07,1.6453384734114,0.017,0.006,0.00210828479594465,"3","CRACR2B",0.011
"RPS241",1.08402262580462e-07,0.102327823048811,0.999,0.999,0.00211189287959256,"3","RPS24",0
"RASSF41",1.09760748813645e-07,1.2582794293042,0.027,0.011,0.00213835890838743,"3","RASSF4",0.016
"MMP7",1.11518728141264e-07,1.43763488973241,0.017,0.006,0.0021726078616481,"3","MMP7",0.011
"WHRN",1.15797799411483e-07,0.862149862484549,0.071,0.043,0.0022559727281345,"3","WHRN",0.028
"CD581",1.29388381508742e-07,0.440793549299631,0.197,0.15,0.00252074444855332,"3","CD58",0.047
"MUC5B",1.30774002382585e-07,1.39551716546294,0.017,0.006,0.00254773911441752,"3","MUC5B",0.011
"NMUR1",1.3190232673645e-07,1.07974129755718,0.036,0.017,0.00256972112947953,"3","NMUR1",0.019
"CDC42SE11",1.37419912769342e-07,0.36608028796444,0.435,0.388,0.00267721474057231,"3","CDC42SE1",0.047
"NDUFA15",1.42245087544756e-07,0.278479272179912,0.483,0.434,0.00277121879554693,"3","NDUFA1",0.049
"MCL1",1.52461956676927e-07,0.242173845235856,0.695,0.68,0.00297026383997989,"3","MCL1",0.0149999999999999
"HOXA10",1.68233284180065e-07,1.51927335875677,0.016,0.005,0.00327752084239603,"3","HOXA10",0.011
"MMP2",1.88787881994499e-07,1.55778859436182,0.013,0.004,0.00367796551701682,"3","MMP2",0.009
"HLA-E1",1.89033769034442e-07,0.134377850254251,0.979,0.973,0.003682755888329,"3","HLA-E",0.00600000000000001
"HIF1A",1.91630600399122e-07,0.481670447153139,0.305,0.258,0.00373334735697569,"3","HIF1A",0.047
"SMC4",2.32742914727203e-07,0.415128431953264,0.261,0.212,0.00453429746471536,"3","SMC4",0.049
"S100A101",2.44916838203088e-07,0.190740262886112,0.638,0.59,0.00477146984187256,"3","S100A10",0.048
"MYOF",2.45984828007823e-07,1.37097259522162,0.014,0.004,0.0047922764192484,"3","MYOF",0.01
"SULF1",2.45989654644634e-07,1.40166939244454,0.014,0.004,0.00479237045178676,"3","SULF1",0.01
"TMBIM1",2.47052299605005e-07,0.584533449594348,0.173,0.131,0.0048130729009047,"3","TMBIM1",0.042
"CDC25B",2.47241036638951e-07,0.559512587844274,0.14,0.101,0.00481674987580004,"3","CDC25B",0.039
"VAMP81",2.62798584523273e-07,0.355264190147411,0.378,0.33,0.00511984202368241,"3","VAMP8",0.048
"SYT111",2.66799840433501e-07,0.563203937846903,0.151,0.11,0.00519779449132547,"3","SYT11",0.041
"GNG52",2.85534926961676e-07,0.384506267914979,0.339,0.29,0.00556279144706738,"3","GNG5",0.049
"ROCK11",2.92198152724519e-07,0.281732526833902,0.483,0.44,0.00569260441137907,"3","ROCK1",0.043
"ERGIC1",3.18510722101193e-07,0.572731418803886,0.153,0.113,0.00620522588797545,"3","ERGIC1",0.04
"CORO1C",3.27358364536178e-07,0.788883209499062,0.047,0.026,0.00637759565789383,"3","CORO1C",0.021
"HMGB11",3.30977810411253e-07,0.153049567702608,0.93,0.908,0.00644810970243203,"3","HMGB1",0.022
"MFGE8",3.34651018734266e-07,0.822929071707319,0.06,0.035,0.00651967114698098,"3","MFGE8",0.025
"PSMB92",3.38709374253437e-07,0.252343487053671,0.526,0.476,0.00659873602920545,"3","PSMB9",0.05
"TFF3",3.46423531861334e-07,1.63367690265771,0.018,0.007,0.00674902324772251,"3","TFF3",0.011
"CLDN4",3.47320139919557e-07,1.34277570339097,0.019,0.007,0.00676649096591281,"3","CLDN4",0.012
"PDZK1IP1",3.60903004043985e-07,1.68742387477842,0.014,0.004,0.00703111232478491,"3","PDZK1IP1",0.01
"COX6C1",3.61942443512795e-07,0.203795143381086,0.613,0.582,0.00705136268451627,"3","COX6C",0.031
"RNF165",3.65788466851576e-07,1.06431125698757,0.027,0.012,0.00712629091120241,"3","RNF165",0.015
"ABI31",3.81151361404706e-07,0.582311946575414,0.127,0.09,0.00742559082288647,"3","ABI3",0.037
"UQCRH1",4.04709881710619e-07,0.258305767631385,0.488,0.443,0.00788455791548627,"3","UQCRH",0.045
"MEF2A1",4.61922233033518e-07,0.505818604062961,0.196,0.152,0.008999168943959,"3","MEF2A",0.044
"MIR181A2HG",4.72542689819346e-07,1.66470379827833,0.013,0.004,0.00920607668306051,"3","MIR181A2HG",0.009
"MCM2",4.95016622551886e-07,1.04803243782984,0.038,0.02,0.00964391384055585,"3","MCM2",0.018
"DHX36",5.10906982884812e-07,0.348729376365453,0.512,0.481,0.00995348984056191,"3","DHX36",0.031
"DDI21",5.128327875362e-07,0.645844771027016,0.11,0.076,0.00999100836678025,"3","DDI2",0.034
"FAM45A",5.35912691610657e-07,0.638401926965853,0.104,0.071,0.0104406510579588,"3","FAM45A",0.033
"FCRL31",5.76477062219699e-07,0.692184534700439,0.084,0.055,0.0112309261261642,"3","FCRL3",0.029
"NLRP2",5.94856832946089e-07,1.7427063102796,0.016,0.006,0.0115890008194557,"3","NLRP2",0.01
"CRIM11",5.97465999174439e-07,0.641537813699289,0.111,0.077,0.0116398325959164,"3","CRIM1",0.034
"AXIN1",6.16233851936488e-07,0.7130068420798,0.093,0.063,0.0120054679034267,"3","AXIN1",0.03
"TRAFD11",6.20189366261053e-07,0.576885919486914,0.105,0.072,0.0120825292334978,"3","TRAFD1",0.033
"USB1",6.27538516083093e-07,0.6171903370757,0.103,0.07,0.0122257053703308,"3","USB1",0.033
"TLN11",6.30488016452424e-07,0.294917380094388,0.49,0.451,0.0122831675365261,"3","TLN1",0.039
"AIRN",6.59504661137159e-07,1.57506658579365,0.018,0.007,0.0128484698082741,"3","AIRN",0.011
"STS",6.92509544915888e-07,1.62030967891988,0.015,0.005,0.0134914709540513,"3","STS",0.01
"CCDC50",6.94488874732089e-07,0.597513352054253,0.089,0.059,0.0135300322575306,"3","CCDC50",0.03
"RCAN21",6.9451090546919e-07,1.17437817169525,0.027,0.012,0.0135304614603508,"3","RCAN2",0.015
"BRK11",7.20609409579525e-07,0.374042100924855,0.279,0.23,0.0140389125174283,"3","BRK1",0.049
"GSPT1",7.4006519725104e-07,0.401085895958975,0.342,0.295,0.0144179501728448,"3","GSPT1",0.047
"COL5A2",7.4245412585703e-07,1.04226659213851,0.018,0.007,0.0144644912799467,"3","COL5A2",0.011
